,code,product_name,product_type,brands,canonical_categories,canonical_countries,ingredients_n,known_ingredients_n,unknown_ingredients_n,completeness,scans_n,unique_scans_n,creator,completeness_ratio,compl_critical_ratio,is_duplicate_product_name,ingredients_match,unknown_ingredients_ratio,ingredients_quality_score,countries_count,categories_count,missing_country_flag,missing_category_flag,missing_both_taxonomy_flag,country_languages,category_languages,countries_mixl,categories_mixl,has_lang_conflict,taxonomy_score,product_quality_score
10219,3700914701181,Sérum anti-age,beauty,Mlle Agathe,"[""en:non-food-products"", ""en:open-beauty-facts"", ""fr:Plastique""]","[""en:france""]",21,2.0,19,0.9875,2.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.9047619047619048,0.09523809523809523,1,3,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.6583333333333333
10220,3306669306024,,beauty,Secrets de Cecile,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",40,3.0,37,0.475,8.0,1.0,openfoodfacts-contributors,1.0,1.0,1,1,0.925,0.07499999999999996,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.67625
10221,08557239,crème de la reine,beauty,Panier des Sens,"[""en:non-food-products"", ""en:open-beauty-facts"", ""en:Body Cream""]","[""en:france""]",26,3.0,23,0.7875,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.8846153846153846,0.11538461538461542,1,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.6903846153846154
10223,14703203,Huile de Ricin,beauty,Prephar,"[""en:Fats"", ""en:Non-food-products"", ""en:Open-beauty-facts"", ""en:Plant-based-foods"", ""en:Plant-based-foods-and-beverages"", ""en:Vegetable-fats"", ""en:Vegetable-oils"", ""fr:Huile de ricin"", ""fr:Huiles de ricin""]","[""en:france""]",8,0.0,8,0.675,1.0,1.0,openfoodfacts-contributors,1.0,1.0,1,1,1.0,0.0,1,9,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.625
10224,3378872152385,watermelon hand balm,beauty,sephora,"[""en:Non-food-products"", ""en:Open-beauty-facts""]","[""en:france""]",38.0,6.0,32.0,0.775,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,0.8421052631578947,0.1578947368421053,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7052631578947369
10225,3245678667163,Disques à démaquiller bio,beauty,"Auchan, Auchan Bio","[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:belgium"", ""en:france"", ""en:world""]",1,0.0,1,0.5625,1.0,1.0,openfoodfacts-contributors,1.0,1.0,0,1,1.0,0.0,3,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.65
10226,3014260095246,Complete,beauty,Oral-B,"[""en:non-food-products"", ""en:open-beauty-facts"", ""en:toothpaste""]","[""en:france""]",17,3.0,15,0.475,1.0,1.0,kiliweb,1.0,1.0,0,0,0.8823529411764706,0.11764705882352944,1,3,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.6911764705882353
10229,3574661240664,Soleil Biafine,beauty,Biafine,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",28,1.0,26,0.5875,2.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.9285714285714286,0.0714285714285714,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.675
10232,3401345935922,Créaline lait,beauty,Bioderma,"[""en:non-food-products"", ""en:open-beauty-facts"", ""fr:Cosm\u00e9tique""]","[""en:france""]",17,3.0,14,0.7875,1.0,1.0,fabia,1.0,1.0,0,1,0.8235294117647058,0.17647058823529416,1,3,0,0,0,"[""en""]","[""en"", ""fr""]",0,1,0,0.6666666666666667,0.6867647058823529
10235,3660005001470,Lait réparateur peaux très sèches,beauty,Yves Rocher,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france""]",27,5.0,23,0.675,2.0,1.0,openfoodfacts-contributors,1.0,1.0,0,0,0.8518518518518519,0.14814814814814814,1,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7018518518518518
